Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
11;Mon;30.10.17;20:45;Hellas Verona;1.1;1–2;1.3;Inter;26,948;Stadio Marc'Antonio Bentegodi;Claudio Gavillucci;Match Report;
;;;;;;;;;;;;;
12;Sat;04.11.17;18:00;Bologna;1.3;2–3;1.9;Crotone;33,766;Stadio Renato Dall'Ara;Fabrizio Pasqua;Match Report;
12;Sat;04.11.17;20:45;Genoa;0.9;0–2;2;Sampdoria;32,288;Stadio Comunale Luigi Ferraris;Massimiliano Irrati;Match Report;
12;Sun;05.11.17;12:30;Inter;2.3;1–1;0.6;Torino;71,581;Stadio Giuseppe Meazza;Daniele Orsato;Match Report;
12;Sun;05.11.17;15:00;Chievo;0.3;0–0;0.8;Napoli;7,300;Stadio Marc'Antonio Bentegodi;Davide Massa;Match Report;
12;Sun;05.11.17;15:00;Juventus;3.1;2–1;0.1;Benevento;39,125;Allianz Stadium;Rosario Abisso;Match Report;
12;Sun;05.11.17;15:00;Fiorentina;1.4;2–4;1.9;Roma;25,026;Stadio Artemio Franchi;Marco Di Bello;Match Report;
12;Sun;05.11.17;15:00;Cagliari;2.6;2–1;0.9;Hellas Verona;13,213;Stadio Sant'Elia;Marco Guida;Match Report;
12;Sun;05.11.17;18:00;Atalanta;1;1–1;0.9;SPAL;17,042;Stadio Atleti Azzurri d'Italia;Daniele Chiffi;Match Report;
12;Sun;05.11.17;20:45;Sassuolo;0.2;0–2;1.3;Milan;12,683;Stadio Città del Tricolore;Antonio Damato;Match Report;
;;;;;;;;;;;;;
13;Sat;18.11.17;18:00;Roma;1.8;2–1;1.4;Lazio;55,775;Stadio Olimpico;Gianluca Rocchi;Match Report;
13;Sat;18.11.17;20:45;Napoli;1.7;2–1;0.4;Milan;36,557;Stadio San Paolo;Daniele Doveri;Match Report;
13;Sun;19.11.17;12:30;Crotone;0.5;0–1;1.5;Genoa;9,106;Stadio Ezio Scida;Paolo Tagliavento;Match Report;
13;Sun;19.11.17;15:00;Torino;2.9;1–1;0.9;Chievo;15,523;Stadio Olimpico di Torino;Luca Banti;Match Report;
13;Sun;19.11.17;15:00;Sampdoria;1.5;3–2;3.5;Juventus;28,786;Stadio Comunale Luigi Ferraris;Marco Guida;Match Report;
13;Sun;19.11.17;15:00;SPAL;1.4;1–1;1.2;Fiorentina;12,124;Stadio Paolo Mazza;Giampaolo Calvarese;Match Report;
13;Sun;19.11.17;15:00;Benevento;1;1–2;2.6;Sassuolo;10,312;Stadio Ciro Vigorito;Paolo Mazzoleni;Match Report;
13;Sun;19.11.17;15:00;Udinese;1.3;0–1;1;Cagliari;3,830;Dacia Arena;Gianluca Manganiello;Match Report;
13;Sun;19.11.17;20:45;Inter;1.3;2–0;0.4;Atalanta;52,177;Stadio Giuseppe Meazza;Michael Fabbri;Match Report;
13;Mon;20.11.17;20:45;Hellas Verona;1.8;2–3;1.1;Bologna;14,938;Stadio Marc'Antonio Bentegodi;Maurizio Mariani;Match Report;
;;;;;;;;;;;;;
14;Sat;25.11.17;15:00;Bologna;1.4;3–0;1.1;Sampdoria;20,192;Stadio Renato Dall'Ara;Fabio Maresca;Match Report;
14;Sat;25.11.17;18:00;Chievo;1.5;2–1;0.7;SPAL;10,000;Stadio Marc'Antonio Bentegodi;Ivan Pezzuto;Match Report;
14;Sat;25.11.17;18:00;Sassuolo;1.7;0–2;1.9;Hellas Verona;8,774;Stadio Città del Tricolore;Paolo Valeri;Match Report;
14;Sat;25.11.17;20:45;Cagliari;0.9;1–3;2.1;Inter;15,974;Stadio Sant'Elia;Luca Pairetto;Match Report;
14;Sun;26.11.17;15:00;Genoa;1.2;1–1;2.4;Roma;20,949;Stadio Comunale Luigi Ferraris;Piero Giacomelli;Match Report;
14;Sun;26.11.17;15:00;Udinese;0.4;0–1;1.4;Napoli;19,743;Dacia Arena;Marco Di Bello;Match Report;
14;Sun;26.11.17;15:00;Milan;1;0–0;1;Torino;53,923;Stadio Giuseppe Meazza;Massimiliano Irrati;Match Report;
14;Sun;26.11.17;18:00;Lazio;1.1;1–1;1.6;Fiorentina;25,000;Stadio Olimpico;Davide Massa;Match Report;
14;Sun;26.11.17;20:45;Juventus;2.5;3–0;0.1;Crotone;35,585;Allianz Stadium;Claudio Gavillucci;Match Report;
14;Mon;27.11.17;20:45;Atalanta;1;1–0;0.7;Benevento;16,687;Stadio Atleti Azzurri d'Italia;Fabrizio Pasqua;Match Report;
;;;;;;;;;;;;;
