Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
8;Sat;20.10.18;15:30;Wolfsburg;1.4;1–3;2.7;Bayern Munich;30,000;Volkswagen Arena;Guido Winkmann;Match Report;
8;Sat;20.10.18;18:30;Schalke 04;1.4;0–2;0.4;Werder Bremen;62,271;Veltins-Arena;Christian Dingert;Match Report;
8;Sun;21.10.18;15:30;Hertha BSC;1.1;1–1;0.7;Freiburg;53,716;Olympiastadion Berlin;Benjamin Cortus;Match Report;
8;Sun;21.10.18;18:00;M'Gladbach;2.6;4–0;1.2;Mainz 05;51,123;Stadion im Borussia-Park;Sören Storks;Match Report;
;;;;;;;;;;;;;
9;Fri;26.10.18;20:30;Freiburg;1.5;3–1;1.2;M'Gladbach;24,000;Schwarzwald-Stadion;Robert Hartmann;Match Report;
9;Sat;27.10.18;15:30;Hannover 96;0.8;1–2;1.6;Augsburg;37,600;HDI-Arena;Robert Kampka;Match Report;
9;Sat;27.10.18;15:30;Dortmund;3.7;2–2;2.1;Hertha BSC;81,000;Signal Iduna Park;Sascha Stegemann;Match Report;
9;Sat;27.10.18;15:30;Mainz 05;0.3;1–2;2.2;Bayern Munich;33,305;Opel Arena;Harm Osmers;Match Report;
9;Sat;27.10.18;15:30;Düsseldorf;0.6;0–3;2;Wolfsburg;38,043;Merkur Spielarena;Daniel Schlager;Match Report;
9;Sat;27.10.18;18:30;Hoffenheim;2.9;4–0;0.5;Stuttgart;30,150;PreZero Arena;Frank Willenborg;Match Report;
9;Sun;28.10.18;13:30;Nürnberg;1;1–1;1.6;Eint Frankfurt;42,154;Max-Morlock-Stadion;Robert Schröder;Match Report;
9;Sun;28.10.18;15:30;RB Leipzig;0.7;0–0;0.5;Schalke 04;41,939;Red Bull Arena;Felix Brych;Match Report;
9;Sun;28.10.18;18:00;Werder Bremen;1.9;2–6;3.9;Leverkusen;40,400;Weserstadion;Marco Fritz;Match Report;
;;;;;;;;;;;;;
10;Fri;02.11.18;20:30;Stuttgart;0.9;0–3;3.1;Eint Frankfurt;58,016;Mercedes-Benz Arena;Sven Jablonski;Match Report;
10;Sat;03.11.18;15:30;Schalke 04;2.9;3–1;1.9;Hannover 96;61,959;Veltins-Arena;Markus Schmidt;Match Report;
10;Sat;03.11.18;15:30;Bayern Munich;2;1–1;0.3;Freiburg;75,000;Allianz Arena;Felix Zwayer;Match Report;
10;Sat;03.11.18;15:30;Leverkusen;1.6;1–4;1.6;Hoffenheim;27,589;BayArena;Tobias Stieler;Match Report;
10;Sat;03.11.18;15:30;Augsburg;1.6;2–2;1.4;Nürnberg;30,660;WWK Arena;Patrick Ittrich;Match Report;
10;Sat;03.11.18;15:30;Wolfsburg;0.6;0–1;1.4;Dortmund;30,000;Volkswagen Arena;Daniel Siebert;Match Report;
10;Sat;03.11.18;18:30;Hertha BSC;1.4;0–3;3.7;RB Leipzig;50,382;Olympiastadion Berlin;Deniz Aytekin;Match Report;
10;Sun;04.11.18;15:30;M'Gladbach;3.5;3–0;0.8;Düsseldorf;54,022;Stadion im Borussia-Park;Felix Brych;Match Report;
10;Sun;04.11.18;18:00;Mainz 05;0.8;2–1;1.6;Werder Bremen;25,105;Opel Arena;Guido Winkmann;Match Report;
;;;;;;;;;;;;;
11;Fri;09.11.18;20:30;Hannover 96;2.1;2–1;3.2;Wolfsburg;35,800;HDI-Arena;Marco Fritz;Match Report;
11;Sat;10.11.18;15:30;Nürnberg;0.5;0–2;1.5;Stuttgart;50,000;Max-Morlock-Stadion;Christian Dingert;Match Report;
11;Sat;10.11.18;15:30;Werder Bremen;1.4;1–3;2;M'Gladbach;42,100;Weserstadion;Sören Storks;Match Report;
11;Sat;10.11.18;15:30;Freiburg;1.3;1–3;0.9;Mainz 05;24,000;Schwarzwald-Stadion;Sascha Stegemann;Match Report;
11;Sat;10.11.18;15:30;Hoffenheim;2.3;2–1;1.3;Augsburg;27,009;PreZero Arena;Robert Schröder;Match Report;
11;Sat;10.11.18;15:30;Düsseldorf;2.7;4–1;0.8;Hertha BSC;38,743;Merkur Spielarena;Robert Hartmann;Match Report;
11;Sat;10.11.18;18:30;Dortmund;2.5;3–2;2.1;Bayern Munich;81,365;Signal Iduna Park;Manuel Gräfe;Match Report;
11;Sun;11.11.18;15:30;RB Leipzig;2.2;3–0;0.4;Leverkusen;36,155;Red Bull Arena;Martin Petersen;Match Report;
11;Sun;11.11.18;18:00;Eint Frankfurt;1.7;3–0;0.8;Schalke 04;50,700;Commerzbank-Arena;Benjamin Cortus;Match Report;
;;;;;;;;;;;;;
12;Fri;23.11.18;20:30;Leverkusen;2.9;2–0;0.6;Stuttgart;24,632;BayArena;Robert Schröder;Match Report;
12;Sat;24.11.18;15:30;Wolfsburg;1.7;1–0;0.5;RB Leipzig;22,832;Volkswagen Arena;Tobias Stieler;Match Report;
12;Sat;24.11.18;15:30;Augsburg;2.2;1–3;3.5;Eint Frankfurt;30,660;WWK Arena;Felix Zwayer;Match Report;
12;Sat;24.11.18;15:30;Mainz 05;1;1–2;1.2;Dortmund;33,305;Opel Arena;Deniz Aytekin;Match Report;
12;Sat;24.11.18;15:30;Bayern Munich;2.6;3–3;1.5;Düsseldorf;75,000;Allianz Arena;Sven Jablonski;Match Report;
12;Sat;24.11.18;15:30;Hertha BSC;3.3;3–3;1.5;Hoffenheim;44,508;Olympiastadion Berlin;Tobias Welz;Match Report;
12;Sat;24.11.18;18:30;Schalke 04;2.7;5–2;2.1;Nürnberg;62,271;Veltins-Arena;Guido Winkmann;Match Report;
12;Sun;25.11.18;15:30;Freiburg;2.8;1–1;2.4;Werder Bremen;24,000;Schwarzwald-Stadion;Bastian Dankert;Match Report;
12;Sun;25.11.18;18:00;M'Gladbach;1.8;4–1;0.5;Hannover 96;48,692;Stadion im Borussia-Park;Daniel Siebert;Match Report;
;;;;;;;;;;;;;
13;Fri;30.11.18;20:30;Düsseldorf;1.6;0–1;0.9;Mainz 05;37,091;Merkur Spielarena;Manuel Gräfe;Match Report;
13;Sat;01.12.18;15:30;Werder Bremen;0.5;1–2;2.4;Bayern Munich;42,100;Weserstadion;Christian Dingert;Match Report;
13;Sat;01.12.18;15:30;Hannover 96;1.1;0–2;1.3;Hertha BSC;35,800;HDI-Arena;Felix Brych;Match Report;
13;Sat;01.12.18;15:30;Stuttgart;0.6;1–0;1.1;Augsburg;52,739;Mercedes-Benz Arena;Harm Osmers;Match Report;
13;Sat;01.12.18;15:30;Dortmund;2.5;2–0;0.1;Freiburg;81,365;Signal Iduna Park;Frank Willenborg;Match Report;
13;Sat;01.12.18;18:30;Hoffenheim;2.2;1–1;2.2;Schalke 04;30,000;PreZero Arena;Robert Kampka;Match Report;
13;Sun;02.12.18;15:30;RB Leipzig;2.1;2–0;0.6;M'Gladbach;41,939;Red Bull Arena;Markus Schmidt;Match Report;
13;Sun;02.12.18;18:00;Eint Frankfurt;1.7;1–2;1.1;Wolfsburg;48,000;Commerzbank-Arena;Sascha Stegemann;Match Report;
13;Mon;03.12.18;20:30;Nürnberg;0.7;1–1;1.6;Leverkusen;32,238;Max-Morlock-Stadion;Bibiana Steinhaus;Match Report;
;;;;;;;;;;;;;
14;Fri;07.12.18;20:30;Werder Bremen;1.9;3–1;1.2;Düsseldorf;41,500;Weserstadion;Marco Fritz;Match Report;
14;Sat;08.12.18;15:30;Freiburg;2;3–0;1;RB Leipzig;23,800;Schwarzwald-Stadion;Tobias Welz;Match Report;
14;Sat;08.12.18;15:30;Schalke 04;1.4;1–2;1.5;Dortmund;61,767;Veltins-Arena;Daniel Siebert;Match Report;
14;Sat;08.12.18;15:30;Bayern Munich;2.1;3–0;0.2;Nürnberg;75,000;Allianz Arena;Tobias Stieler;Match Report;
14;Sat;08.12.18;15:30;Wolfsburg;0.5;2–2;2;Hoffenheim;20,602;Volkswagen Arena;Felix Zwayer;Match Report;
14;Sat;08.12.18;15:30;Leverkusen;1.7;1–0;0.8;Augsburg;25,558;BayArena;Bastian Dankert;Match Report;
14;Sat;08.12.18;18:30;Hertha BSC;0.4;1–0;1.4;Eint Frankfurt;42,578;Olympiastadion Berlin;Daniel Schlager;Match Report;
14;Sun;09.12.18;15:30;Mainz 05;2.8;1–1;1.4;Hannover 96;23,305;Opel Arena;Robert Hartmann;Match Report;
14;Sun;09.12.18;18:00;M'Gladbach;1.2;3–0;0.9;Stuttgart;48,590;Stadion im Borussia-Park;Deniz Aytekin;Match Report;
;;;;;;;;;;;;;
15;Fri;14.12.18;20:30;Nürnberg;0.8;0–2;0.8;Wolfsburg;29,604;Max-Morlock-Stadion;Sven Jablonski;Match Report;
15;Sat;15.12.18;15:30;Düsseldorf;2.1;2–0;0.9;Freiburg;39,301;Merkur Spielarena;Harm Osmers;Match Report;
15;Sat;15.12.18;15:30;Augsburg;1.9;1–1;0.6;Schalke 04;27,233;WWK Arena;Manuel Gräfe;Match Report;
15;Sat;15.12.18;15:30;Stuttgart;1;2–1;1.1;Hertha BSC;47,680;Mercedes-Benz Arena;Sascha Stegemann;Match Report;
15;Sat;15.12.18;15:30;Hoffenheim;2.8;0–0;0.5;M'Gladbach;30,150;PreZero Arena;Benjamin Cortus;Match Report;
15;Sat;15.12.18;15:30;Hannover 96;0.1;0–4;3.4;Bayern Munich;49,000;HDI-Arena;Sören Storks;Match Report;
15;Sat;15.12.18;18:30;Dortmund;2.3;2–1;0.4;Werder Bremen;81,365;Signal Iduna Park;Guido Winkmann;Match Report;
15;Sun;16.12.18;15:30;RB Leipzig;3.2;4–1;1;Mainz 05;30,136;Red Bull Arena;Martin Petersen;Match Report;
15;Sun;16.12.18;18:00;Eint Frankfurt;3.5;2–1;1.1;Leverkusen;46,500;Commerzbank-Arena;Felix Brych;Match Report;
;;;;;;;;;;;;;
16;Tue;18.12.18;18:30;M'Gladbach;2.7;2–0;0.9;Nürnberg;42,323;Stadion im Borussia-Park;Robert Schröder;Match Report;
16;Tue;18.12.18;20:30;Wolfsburg;1.2;2–0;0.6;Stuttgart;21,780;Volkswagen Arena;Robert Hartmann;Match Report;
16;Tue;18.12.18;20:30;Düsseldorf;1.6;2–1;0.9;Dortmund;52,000;Merkur Spielarena;Tobias Welz;Match Report;
16;Tue;18.12.18;20:30;Hertha BSC;2;2–2;0.6;Augsburg;27,939;Olympiastadion Berlin;Frank Willenborg;Match Report;
16;Wed;19.12.18;18:30;Schalke 04;1.8;1–2;0.5;Leverkusen;61,548;Veltins-Arena;Deniz Aytekin;Match Report;
16;Wed;19.12.18;20:30;Freiburg;1.9;1–1;1.7;Hannover 96;23,500;Schwarzwald-Stadion;Christian Dingert;Match Report;
16;Wed;19.12.18;20:30;Bayern Munich;1.8;1–0;0.4;RB Leipzig;75,000;Allianz Arena;Marco Fritz;Match Report;
16;Wed;19.12.18;20:30;Werder Bremen;2.5;1–1;1.5;Hoffenheim;40,003;Weserstadion;Markus Schmidt;Match Report;
16;Wed;19.12.18;20:30;Mainz 05;1.5;2–2;1.1;Eint Frankfurt;30,805;Opel Arena;Daniel Siebert;Match Report;
;;;;;;;;;;;;;
17;Fri;21.12.18;20:30;Dortmund;1.7;2–1;0.6;M'Gladbach;81,365;Signal Iduna Park;Felix Zwayer;Match Report;
17;Sat;22.12.18;15:30;RB Leipzig;1.9;3–2;2;Werder Bremen;40,455;Red Bull Arena;Bibiana Steinhaus;Match Report;
17;Sat;22.12.18;15:30;Hannover 96;0.5;0–1;0.9;Düsseldorf;34,200;HDI-Arena;Bastian Dankert;Match Report;
17;Sat;22.12.18;15:30;Leverkusen;2.5;3–1;1.6;Hertha BSC;27,647;BayArena;Tobias Stieler;Match Report;
17;Sat;22.12.18;15:30;Stuttgart;1.6;1–3;2.2;Schalke 04;54,022;Mercedes-Benz Arena;Felix Brych;Match Report;
17;Sat;22.12.18;15:30;Nürnberg;0.7;0–1;0.4;Freiburg;36,190;Max-Morlock-Stadion;Robert Kampka;Match Report;
17;Sat;22.12.18;18:30;Eint Frankfurt;1.1;0–3;1.9;Bayern Munich;51,500;Commerzbank-Arena;Manuel Gräfe;Match Report;
17;Sun;23.12.18;15:30;Augsburg;0.9;2–3;2.1;Wolfsburg;28,152;WWK Arena;Sören Storks;Match Report;
17;Sun;23.12.18;18:00;Hoffenheim;3.1;1–1;1.3;Mainz 05;28,216;PreZero Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;;;
18;Fri;18.01.19;20:30;Hoffenheim;1;1–3;2.7;Bayern Munich;30,150;PreZero Arena;Tobias Welz;Match Report;
18;Sat;19.01.19;15:30;Stuttgart;2.8;2–3;1.7;Mainz 05;51,881;Mercedes-Benz Arena;Tobias Stieler;Match Report;
18;Sat;19.01.19;15:30;Eint Frankfurt;2.7;3–1;1.6;Freiburg;49,200;Commerzbank-Arena;Sven Jablonski;Match Report;
18;Sat;19.01.19;15:30;Leverkusen;1.8;0–1;0.7;M'Gladbach;29,628;BayArena;Daniel Siebert;Match Report;
18;Sat;19.01.19;15:30;Hannover 96;0.9;0–1;2.7;Werder Bremen;44,300;HDI-Arena;Marco Fritz;Match Report;
18;Sat;19.01.19;15:30;Augsburg;0.8;1–2;1.1;Düsseldorf;27,568;WWK Arena;Christian Dingert;Match Report;
18;Sat;19.01.19;18:30;RB Leipzig;1.3;0–1;1;Dortmund;41,939;Red Bull Arena;Deniz Aytekin;Match Report;
18;Sun;20.01.19;15:30;Nürnberg;1;1–3;2.3;Hertha BSC;36,112;Max-Morlock-Stadion;Guido Winkmann;Match Report;
18;Sun;20.01.19;18:00;Schalke 04;2.5;2–1;1.4;Wolfsburg;58,827;Veltins-Arena;Manuel Gräfe;Match Report;
;;;;;;;;;;;;;
19;Fri;25.01.19;20:30;Hertha BSC;0.9;2–2;1;Schalke 04;43,027;Olympiastadion Berlin;Felix Brych;Match Report;
19;Sat;26.01.19;15:30;Freiburg;2;2–4;2.5;Hoffenheim;23,900;Schwarzwald-Stadion;Bibiana Steinhaus;Match Report;
19;Sat;26.01.19;15:30;Dortmund;2.2;5–1;0.8;Hannover 96;81,365;Signal Iduna Park;Manuel Gräfe;Match Report;
