Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
10;Sun;06.12.20;18:00;Schalke 04;1.3;0–3;2.5;Leverkusen;;Veltins-Arena;Benjamin Cortus;Match Report;
10;Mon;07.12.20;20:30;Hoffenheim;1.4;3–1;0.9;Augsburg;;PreZero Arena;Florian Badstübner;Match Report;
;;;;;;;;;;;;;
11;Fri;11.12.20;20:30;Wolfsburg;2.8;2–1;1.5;Eint Frankfurt;;Volkswagen Arena;Markus Schmidt;Match Report;
11;Sat;12.12.20;15:30;Dortmund;0.9;1–5;3.9;Stuttgart;;Signal Iduna Park;Christian Dingert;Match Report;
11;Sat;12.12.20;15:30;M'Gladbach;1.4;1–1;0.5;Hertha BSC;;Stadion im Borussia-Park;Robert Hartmann;Match Report;
11;Sat;12.12.20;15:30;Freiburg;2.7;2–0;0.2;Arminia;;Schwarzwald-Stadion;Harm Osmers;Match Report;
11;Sat;12.12.20;15:30;Mainz 05;1.7;0–1;1;Köln;;Opel Arena;Felix Zwayer;Match Report;
11;Sat;12.12.20;15:30;RB Leipzig;2.7;2–0;0.4;Werder Bremen;;Red Bull Arena;Sören Storks;Match Report;
11;Sat;12.12.20;18:30;Union Berlin;1.3;1–1;0.9;Bayern Munich;;Stadion An der Alten Försterei;Bastian Dankert;Match Report;
11;Sun;13.12.20;15:30;Augsburg;1;2–2;1.9;Schalke 04;;WWK Arena;Manuel Gräfe;Match Report;
11;Sun;13.12.20;18:00;Leverkusen;2.3;4–1;1.6;Hoffenheim;;BayArena;Martin Petersen;Match Report;
;;;;;;;;;;;;;
12;Tue;15.12.20;18:30;Eint Frankfurt;2.2;3–3;1.6;M'Gladbach;;Commerzbank-Arena;Benjamin Cortus;Match Report;
12;Tue;15.12.20;20:30;Werder Bremen;0.2;1–2;2.8;Dortmund;;Weserstadion;Robert Schröder;Match Report;
12;Tue;15.12.20;20:30;Stuttgart;1.7;2–2;0.8;Union Berlin;;Mercedes-Benz Arena;Sascha Stegemann;Match Report;
12;Tue;15.12.20;20:30;Hertha BSC;0.6;0–0;0.5;Mainz 05;;Olympiastadion Berlin;Matthias Jöllenbeck;Match Report;
12;Wed;16.12.20;18:30;Schalke 04;0.4;0–2;1.4;Freiburg;;Veltins-Arena;Sven Jablonski;Match Report;
12;Wed;16.12.20;20:30;Köln;0.6;0–4;1.4;Leverkusen;;RheinEnergieSTADION;Tobias Stieler;Match Report;
12;Wed;16.12.20;20:30;Hoffenheim;0.8;0–1;0.3;RB Leipzig;;PreZero Arena;Daniel Schlager;Match Report;
12;Wed;16.12.20;20:30;Bayern Munich;2;2–1;1.1;Wolfsburg;;Allianz Arena;Marco Fritz;Match Report;
12;Wed;16.12.20;20:30;Arminia;0.8;0–1;0.6;Augsburg;;SchücoArena;Patrick Ittrich;Match Report;
;;;;;;;;;;;;;
13;Fri;18.12.20;20:30;Union Berlin;1.1;2–1;1.7;Dortmund;;Stadion An der Alten Försterei;Harm Osmers;Match Report;
13;Sat;19.12.20;15:30;M'Gladbach;1.8;1–2;1.8;Hoffenheim;;Stadion im Borussia-Park;Frank Willenborg;Match Report;
13;Sat;19.12.20;15:30;Schalke 04;0.6;0–1;0.7;Arminia;;Veltins-Arena;Bastian Dankert;Match Report;
13;Sat;19.12.20;15:30;Mainz 05;0.5;0–1;0.9;Werder Bremen;;Opel Arena;Guido Winkmann;Match Report;
13;Sat;19.12.20;15:30;RB Leipzig;2.2;0–0;0.5;Köln;;Red Bull Arena;Felix Brych;Match Report;
13;Sat;19.12.20;15:30;Augsburg;2;0–2;1.3;Eint Frankfurt;;WWK Arena;Daniel Siebert;Match Report;
13;Sat;19.12.20;18:30;Leverkusen;0.3;1–2;1.3;Bayern Munich;;BayArena;Felix Zwayer;Match Report;
13;Sun;20.12.20;15:30;Freiburg;2.8;4–1;1.8;Hertha BSC;;Schwarzwald-Stadion;Tobias Reichel;Match Report;
13;Sun;20.12.20;18:00;Wolfsburg;1.8;1–0;1.7;Stuttgart;;Volkswagen Arena;Florian Badstübner;Match Report;
;;;;;;;;;;;;;
14;Sat;02.01.21;15:30;Köln;0.5;0–1;1.3;Augsburg;;RheinEnergieSTADION;Sören Storks;Match Report;
14;Sat;02.01.21;15:30;Arminia;0.2;0–1;2.7;M'Gladbach;;SchücoArena;Sascha Stegemann;Match Report;
14;Sat;02.01.21;15:30;Eint Frankfurt;1.4;2–1;0.7;Leverkusen;;Commerzbank-Arena;Felix Brych;Match Report;
14;Sat;02.01.21;15:30;Hoffenheim;1.2;1–3;1.9;Freiburg;;PreZero Arena;Robert Hartmann;Match Report;
14;Sat;02.01.21;15:30;Werder Bremen;1;0–2;0.8;Union Berlin;;Weserstadion;Tobias Stieler;Match Report;
14;Sat;02.01.21;18:30;Hertha BSC;2.3;3–0;0.9;Schalke 04;;Olympiastadion Berlin;Sven Jablonski;Match Report;
14;Sat;02.01.21;20:30;Stuttgart;1.1;0–1;3.2;RB Leipzig;;Mercedes-Benz Arena;Christian Dingert;Match Report;
14;Sun;03.01.21;15:30;Dortmund;1.8;2–0;1.6;Wolfsburg;;Signal Iduna Park;Manuel Gräfe;Match Report;
14;Sun;03.01.21;18:00;Bayern Munich;3.5;5–2;1.5;Mainz 05;;Allianz Arena;Markus Schmidt;Match Report;
;;;;;;;;;;;;;
15;Fri;08.01.21;20:30;M'Gladbach;1.3;3–2;1.4;Bayern Munich;;Stadion im Borussia-Park;Harm Osmers;Match Report;
15;Sat;09.01.21;15:30;Schalke 04;2;4–0;2.4;Hoffenheim;;Veltins-Arena;Felix Zwayer;Match Report;
15;Sat;09.01.21;15:30;Union Berlin;1.4;2–2;1.8;Wolfsburg;;Stadion An der Alten Försterei;Patrick Ittrich;Match Report;
15;Sat;09.01.21;15:30;Mainz 05;1.2;0–2;2.3;Eint Frankfurt;;Opel Arena;Bastian Dankert;Match Report;
15;Sat;09.01.21;15:30;Leverkusen;0.8;1–1;0.4;Werder Bremen;;BayArena;Benjamin Cortus;Match Report;
15;Sat;09.01.21;15:30;Freiburg;2.9;5–0;0.2;Köln;;Schwarzwald-Stadion;Robert Schröder;Match Report;
15;Sat;09.01.21;18:30;RB Leipzig;1;1–3;2.2;Dortmund;;Red Bull Arena;Daniel Siebert;Match Report;
15;Sun;10.01.21;15:30;Augsburg;1;1–4;4;Stuttgart;;WWK Arena;Daniel Schlager;Match Report;
15;Sun;10.01.21;18:00;Arminia;0.8;1–0;0.8;Hertha BSC;;SchücoArena;Guido Winkmann;Match Report;
;;;;;;;;;;;;;
16;Fri;15.01.21;20:30;Union Berlin;1.3;1–0;1.2;Leverkusen;;Stadion An der Alten Försterei;Florian Badstübner;Match Report;
16;Sat;16.01.21;15:30;Dortmund;2.4;1–1;0.8;Mainz 05;;Signal Iduna Park;Sven Jablonski;Match Report;
16;Sat;16.01.21;15:30;Köln;0.4;0–0;0.9;Hertha BSC;;RheinEnergieSTADION;Frank Willenborg;Match Report;
16;Sat;16.01.21;15:30;Hoffenheim;0.7;0–0;0.8;Arminia;;PreZero Arena;Marco Fritz;Match Report;
16;Sat;16.01.21;15:30;Wolfsburg;1.2;2–2;2.1;RB Leipzig;;Volkswagen Arena;Tobias Stieler;Match Report;
16;Sat;16.01.21;15:30;Werder Bremen;1.2;2–0;0.5;Augsburg;;Weserstadion;Sascha Stegemann;Match Report;
16;Sat;16.01.21;18:30;Stuttgart;2;2–2;1.5;M'Gladbach;;Mercedes-Benz Arena;Felix Brych;Match Report;
16;Sun;17.01.21;15:30;Bayern Munich;2.7;2–1;1;Freiburg;;Allianz Arena;Christian Dingert;Match Report;
16;Sun;17.01.21;18:00;Eint Frankfurt;1.7;3–1;0.2;Schalke 04;;Commerzbank-Arena;Manuel Gräfe;Match Report;
;;;;;;;;;;;;;
17;Tue;19.01.21;18:30;M'Gladbach;0.8;1–0;1.1;Werder Bremen;;Stadion im Borussia-Park;Martin Petersen;Match Report;
17;Tue;19.01.21;20:30;Mainz 05;0.4;0–2;1.1;Wolfsburg;;Opel Arena;Sören Storks;Match Report;
17;Tue;19.01.21;20:30;Leverkusen;1.8;2–1;2.1;Dortmund;;BayArena;Felix Zwayer;Match Report;
17;Tue;19.01.21;20:30;Hertha BSC;1.4;0–3;1.3;Hoffenheim;;Olympiastadion Berlin;Harm Osmers;Match Report;
17;Wed;20.01.21;18:30;Schalke 04;1.4;1–2;1.6;Köln;;Veltins-Arena;Daniel Siebert;Match Report;
17;Wed;20.01.21;20:30;RB Leipzig;1.4;1–0;0.3;Union Berlin;;Red Bull Arena;Markus Schmidt;Match Report;
17;Wed;20.01.21;20:30;Freiburg;0.7;2–2;1.4;Eint Frankfurt;;Schwarzwald-Stadion;Guido Winkmann;Match Report;
17;Wed;20.01.21;20:30;Arminia;2.2;3–0;0.9;Stuttgart;;SchücoArena;Robert Hartmann;Match Report;
17;Wed;20.01.21;20:30;Augsburg;1.2;0–1;2;Bayern Munich;;WWK Arena;Matthias Jöllenbeck;Match Report;
;;;;;;;;;;;;;
18;Fri;22.01.21;20:30;M'Gladbach;1.8;4–2;1.2;Dortmund;;Stadion im Borussia-Park;Manuel Gräfe;Match Report;
18;Sat;23.01.21;15:30;Arminia;0.6;1–5;2.4;Eint Frankfurt;;SchücoArena;Robert Schröder;Match Report;
18;Sat;23.01.21;15:30;Leverkusen;1;0–1;1.1;Wolfsburg;;BayArena;Marco Fritz;Match Report;
18;Sat;23.01.21;15:30;Augsburg;1;2–1;1.5;Union Berlin;;WWK Arena;Felix Brych;Match Report;
18;Sat;23.01.21;15:30;Mainz 05;1.6;3–2;1.4;RB Leipzig;;Opel Arena;Christian Dingert;Match Report;
18;Sat;23.01.21;15:30;Freiburg;1.2;2–1;2.5;Stuttgart;;Schwarzwald-Stadion;Tobias Stieler;Match Report;
18;Sat;23.01.21;18:30;Hertha BSC;1.9;1–4;1.5;Werder Bremen;;Olympiastadion Berlin;Daniel Schlager;Match Report;
18;Sun;24.01.21;15:30;Schalke 04;0.7;0–4;3.1;Bayern Munich;;Veltins-Arena;Sascha Stegemann;Match Report;
18;Sun;24.01.21;18:00;Hoffenheim;2.2;3–0;2;Köln;;PreZero Arena;Sven Jablonski;Match Report;
;;;;;;;;;;;;;
19;Fri;29.01.21;20:30;Stuttgart;1;2–0;0.5;Mainz 05;;Mercedes-Benz Arena;Frank Willenborg;Match Report;
19;Sat;30.01.21;15:30;Dortmund;1.9;3–1;0.5;Augsburg;;Signal Iduna Park;Patrick Ittrich;Match Report;
19;Sat;30.01.21;15:30;Union Berlin;0.5;1–1;0.9;M'Gladbach;;Stadion An der Alten Försterei;Bastian Dankert;Match Report;
19;Sat;30.01.21;15:30;Eint Frankfurt;2.3;3–1;0.5;Hertha BSC;;Commerzbank-Arena;Florian Badstübner;Match Report;
19;Sat;30.01.21;15:30;Bayern Munich;2;4–1;2.1;Hoffenheim;;Allianz Arena;Benjamin Cortus;Match Report;
19;Sat;30.01.21;15:30;Werder Bremen;0.7;1–1;0.3;Schalke 04;;Weserstadion;Sören Storks;Match Report;
19;Sat;30.01.21;18:30;RB Leipzig;1.7;1–0;0.5;Leverkusen;;Red Bull Arena;Harm Osmers;Match Report;
