Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
12;Fri;27.11.20;21:00;Strasbourg;0.6;1–1;1.9;Rennes;;Stade de la Meinau;Benoît Millot;Match Report;
12;Sat;28.11.20;17:00;Marseille;3;3–1;0.4;Nantes;;Orange Vélodrome;Mikael Lesage;Match Report;
12;Sat;28.11.20;21:00;Paris S-G;2.6;2–2;1.6;Bordeaux;;Parc des Princes;Jérémie Pignard;Match Report;
12;Sun;29.11.20;13:00;Lyon;2.6;3–0;0.4;Reims;;Groupama Stadium;Jérôme Miguelgorry;Match Report;
12;Sun;29.11.20;15:00;Monaco;3.1;3–0;0.2;Nîmes;;Stade Louis II.;Antony Gautier;Match Report;
12;Sun;29.11.20;15:00;Lens;1.4;1–3;2.5;Angers;;Stade Bollaert-Delelis;Aurélien Petit;Match Report;
12;Sun;29.11.20;15:00;Metz;0.9;0–2;1.3;Brest;;Stade Saint-Symphorien;Hakim Ben El Hadj Salem;Match Report;
12;Sun;29.11.20;15:00;Lorient;0.3;0–1;1.6;Montpellier;;Stade Yves Allainmat - Le Moustoir;Bastien Dechepy;Match Report;
12;Sun;29.11.20;17:00;Nice;3.5;1–3;1;Dijon;;Stade de Nice;François Letexier;Match Report;
12;Sun;29.11.20;21:00;Saint-Étienne;0.9;1–1;0.5;Lille;;Stade Geoffroy-Guichard;Benoît Bastien;Match Report;
;;;;;;;;;;;;;
13;Fri;04.12.20;21:00;Nîmes;0.5;0–2;2.3;Marseille;;Stade des Costières;Willy Delajod;Match Report;
13;Sat;05.12.20;17:00;Rennes;0.7;0–2;0.7;Lens;;Roazhon Park;Johan Hamel;Match Report;
13;Sat;05.12.20;21:00;Montpellier;1.6;1–3;1.9;Paris S-G;;Stade de la Mosson;Mikael Lesage;Match Report;
13;Sun;06.12.20;13:00;Lille;1.1;2–1;0.6;Monaco;;Stade Pierre-Mauroy;Jérôme Brisard;Match Report;
13;Sun;06.12.20;15:00;Angers;1.9;2–0;0.6;Lorient;;Stade Raymond Kopa;Thomas Léonard;Match Report;
13;Sun;06.12.20;15:00;Dijon;0.4;0–0;0.7;Saint-Étienne;;Stade Gaston Gérard;Ruddy Buquet;Match Report;
13;Sun;06.12.20;15:00;Nantes;0.5;0–4;3.1;Strasbourg;;Stade de la Beaujoire - Louis Fonteneau;Clément Turpin;Match Report;
13;Sun;06.12.20;15:00;Bordeaux;1.6;1–0;0.3;Brest;;Stade Matmut-Atlantique;Franck Schneider;Match Report;
13;Sun;06.12.20;17:00;Reims;0.5;0–0;0.8;Nice;;Stade Auguste-Delaune II;Stéphanie Frappart;Match Report;
13;Sun;06.12.20;21:00;Metz;1.5;1–3;2;Lyon;;Stade Saint-Symphorien;Karim Abed;Match Report;
;;;;;;;;;;;;;
14;Fri;11.12.20;21:00;Saint-Étienne;1.4;0–0;0.6;Angers;;Stade Geoffroy-Guichard;Jérôme Miguelgorry;Match Report;
14;Sat;12.12.20;17:00;Marseille;0.9;2–1;1.7;Monaco;;Orange Vélodrome;Benoît Millot;Match Report;
14;Sat;12.12.20;21:00;Lens;1.8;2–3;1.5;Montpellier;;Stade Bollaert-Delelis;Jeremy Stinat;Match Report;
14;Sun;13.12.20;13:00;Nice;1.4;0–1;1.4;Rennes;;Stade de Nice;Amaury Delerue;Match Report;
14;Sun;13.12.20;15:00;Brest;2.5;2–1;0.7;Reims;;Stade Francis-Le Blé;Aurélien Petit;Match Report;
14;Sun;13.12.20;15:00;Lorient;2.9;3–0;0.4;Nîmes;;Stade Yves Allainmat - Le Moustoir;Karim Abed;Match Report;
14;Sun;13.12.20;15:00;Nantes;2.5;1–1;1.2;Dijon;;Stade de la Beaujoire - Louis Fonteneau;Antony Gautier;Match Report;
14;Sun;13.12.20;15:00;Strasbourg;1.3;2–2;1.7;Metz;;Stade de la Meinau;François Letexier;Match Report;
14;Sun;13.12.20;17:00;Lille;1.3;2–1;0.6;Bordeaux;;Stade Pierre-Mauroy;Eric Wattellier;Match Report;
14;Sun;13.12.20;21:00;Paris S-G;0.3;0–1;0.9;Lyon;;Parc des Princes;Benoît Bastien;Match Report;
;;;;;;;;;;;;;
15;Wed;16.12.20;19:00;Dijon;0.2;0–2;1.1;Lille;;Stade Gaston Gérard;Hakim Ben El Hadj Salem;Match Report;
15;Wed;16.12.20;19:00;Reims;1.6;3–2;1.5;Nantes;;Stade Auguste-Delaune II;Karim Abed;Match Report;
15;Wed;16.12.20;19:00;Montpellier;0.9;0–2;1.4;Metz;;Stade de la Mosson;Jérémie Pignard;Match Report;
15;Wed;16.12.20;19:00;Angers;0.3;0–2;0.6;Strasbourg;;Stade Raymond Kopa;Bastien Dechepy;Match Report;
15;Wed;16.12.20;19:00;Nîmes;0.9;0–2;2;Nice;;Stade des Costières;Ruddy Buquet;Match Report;
15;Wed;16.12.20;21:00;Monaco;0.9;0–3;1.2;Lens;;Stade Louis II.;Willy Delajod;Match Report;
15;Wed;16.12.20;21:00;Bordeaux;0.9;1–2;2;Saint-Étienne;;Stade Matmut-Atlantique;Stéphanie Frappart;Match Report;
15;Wed;16.12.20;21:00;Paris S-G;2.5;2–0;1.4;Lorient;;Parc des Princes;Johan Hamel;Match Report;
15;Wed;16.12.20;21:00;Rennes;1.5;2–1;0.8;Marseille;;Roazhon Park;Clément Turpin;Match Report;
15;Wed;16.12.20;21:00;Lyon;3.5;2–2;1.5;Brest;;Groupama Stadium;Jérôme Brisard;Match Report;
;;;;;;;;;;;;;
16;Sat;19.12.20;17:00;Metz;1;2–0;1.1;Lens;;Stade Saint-Symphorien;Amaury Delerue;Match Report;
16;Sat;19.12.20;19:00;Marseille;2.2;1–1;0.2;Reims;;Orange Vélodrome;Thomas Léonard;Match Report;
16;Sat;19.12.20;21:00;Nice;0.9;1–4;3.5;Lyon;;Stade de Nice;Antony Gautier;Match Report;
16;Sun;20.12.20;13:00;Brest;1.8;2–2;0.6;Montpellier;;Stade Francis-Le Blé;Benoît Millot;Match Report;
16;Sun;20.12.20;15:00;Nantes;0.7;1–1;1;Angers;;Stade de la Beaujoire - Louis Fonteneau;Willy Delajod;Match Report;
16;Sun;20.12.20;15:00;Strasbourg;0.8;0–2;0.6;Bordeaux;;Stade de la Meinau;Benoît Bastien;Match Report;
16;Sun;20.12.20;15:00;Dijon;1.1;0–1;1.3;Monaco;;Stade Gaston Gérard;Jeremy Stinat;Match Report;
