Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
15;Sun;06.12.15;15:00;Frosinone;0–2;Chievo;6,007;Stadio Comunale Matusa;Gianluca Rocchi;Match Report;
15;Sun;06.12.15;18:00;Sampdoria;1–3;Sassuolo;20,581;Stadio Comunale Luigi Ferraris;Maurizio Mariani;Match Report;
15;Sun;06.12.15;20:45;Carpi;0–0;Milan;12,150;Stadio Sandro Cabassi;Massimiliano Irrati;Match Report;
;;;;;;;;;;;
16;Sat;12.12.15;15:00;Genoa;0–1;Bologna;19,594;Stadio Comunale Luigi Ferraris;Marco Di Bello;Match Report;
16;Sat;12.12.15;18:00;Palermo;4–1;Frosinone;14,402;Stadio Renzo Barbera;Daniele Doveri;Match Report;
16;Sat;12.12.15;20:45;Udinese;0–4;Inter;16,780;Dacia Arena;Davide Massa;Match Report;
16;Sun;13.12.15;15:00;Chievo;1–0;Atalanta;5,100;Stadio Marc'Antonio Bentegodi;Fabrizio Pasqua;Match Report;
16;Sun;13.12.15;15:00;Milan;1–1;Hellas Verona;27,497;Stadio Giuseppe Meazza;Paolo Valeri;Match Report;
16;Sun;13.12.15;15:00;Empoli;3–0;Carpi;8,863;Stadio Carlo Castellani;Angelo Cervellera;Match Report;
16;Sun;13.12.15;18:00;Napoli;0–0;Roma;55,726;Stadio San Paolo;Nicola Rizzoli;Match Report;
16;Sun;13.12.15;20:45;Juventus;3–1;Fiorentina;36,690;Allianz Stadium;Daniele Orsato;Match Report;
16;Mon;14.12.15;20:45;Lazio;1–1;Sampdoria;2,338;Stadio Olimpico;Giampaolo Calvarese;Match Report;
;;;;;;;;;;;
17;Sat;19.12.15;20:45;Bologna;2–3;Empoli;19,214;Stadio Renato Dall'Ara;Maurizio Mariani;Match Report;
17;Sun;20.12.15;12:30;Carpi;2–3;Juventus;17,755;Stadio Sandro Cabassi;Piero Giacomelli;Match Report;
17;Sun;20.12.15;15:00;Fiorentina;2–0;Chievo;25,156;Stadio Artemio Franchi;Paolo Tagliavento;Match Report;
17;Sun;20.12.15;15:00;Atalanta;1–3;Napoli;17,134;Stadio Atleti Azzurri d'Italia;Gianluca Rocchi;Match Report;
17;Sun;20.12.15;15:00;Roma;2–0;Genoa;28,133;Stadio Olimpico;Andrea Gervasoni;Match Report;
17;Sun;20.12.15;15:00;Hellas Verona;1–1;Sassuolo;16,949;Stadio Marc'Antonio Bentegodi;Marco Guida;Match Report;
17;Sun;20.12.15;18:00;Sampdoria;2–0;Palermo;20,309;Stadio Comunale Luigi Ferraris;Michael Fabbri;Match Report;
17;Sun;20.12.15;18:00;Frosinone;2–4;Milan;7,931;Stadio Comunale Matusa;Luca Banti;Match Report;
17;Sun;20.12.15;18:00;Torino;0–1;Udinese;15,624;Stadio Olimpico di Torino;Claudio Gavillucci;Match Report;
17;Sun;20.12.15;20:45;Inter;1–2;Lazio;46,260;Stadio Giuseppe Meazza;Paolo Mazzoleni;Match Report;
;;;;;;;;;;;
18;Tue;05.01.16;20:45;Genoa;2–3;Sampdoria;21,770;Stadio Comunale Luigi Ferraris;Paolo Valeri;Match Report;
18;Wed;06.01.16;12:30;Udinese;2–1;Atalanta;13,462;Dacia Arena;Angelo Cervellera;Match Report;
18;Wed;06.01.16;15:00;Milan;0–1;Bologna;31,381;Stadio Giuseppe Meazza;Davide Massa;Match Report;
18;Wed;06.01.16;15:00;Chievo;3–3;Roma;12,000;Stadio Marc'Antonio Bentegodi;Massimiliano Irrati;Match Report;
18;Wed;06.01.16;15:00;Lazio;0–0;Carpi;20,090;Stadio Olimpico;Carmine Russo;Match Report;
