Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
11;Sat;03.11.18;16:15;Real Madrid;2.2;2–0;1.1;Valladolid;68,050;Estadio Santiago Bernabéu;Jesús Gil;Match Report;
11;Sat;03.11.18;18:30;Valencia;2;0–1;0.5;Girona;38,745;Estadio de Mestalla;Alberola Rojas;Match Report;
11;Sat;03.11.18;20:45;Rayo Vallecano;1.4;2–3;1.2;Barcelona;13,785;Estadio del Rayo Vallecano;Alejandro Hernández;Match Report;
11;Sun;04.11.18;12:00;Eibar;1.4;2–1;0.7;Alavés;5,660;Estadio Municipal de Ipurúa;Ignacio Iglesias;Match Report;
11;Sun;04.11.18;16:15;Villarreal;1.4;1–1;0.8;Levante;16,499;Estadio de la Cerámica;Carlos del Cerro;Match Report;
11;Sun;04.11.18;18:30;Real Sociedad;0.7;0–0;0.4;Sevilla;24,882;Estadio Municipal de Anoeta;Eduardo Prieto;Match Report;
11;Sun;04.11.18;18:30;Huesca;1.3;1–1;1;Getafe;6,420;Estadio El Alcoraz;Juan Martínez;Match Report;
11;Sun;04.11.18;20:45;Betis;2.1;3–3;1.3;Celta Vigo;42,130;Estadio Benito Villamarín;Javier Estrada;Match Report;
11;Mon;05.11.18;21:00;Espanyol;1.8;1–0;0.5;Athletic Club;14,328;RCDE Stadium;Pablo González;Match Report;
;;;;;;;;;;;;;
12;Fri;09.11.18;21:00;Levante;1;1–3;1;Real Sociedad;19,890;Estadio Ciudad de Valencia;David Medié;Match Report;
12;Sat;10.11.18;13:00;Valladolid;0.5;0–0;1.4;Eibar;16,038;Estadio Municipal José Zorrilla;Guillermo Cuadra;Match Report;
12;Sat;10.11.18;16:15;Getafe;1.3;0–1;2.1;Valencia;10,011;Coliseum Alfonso Pérez;Ricardo de Burgos;Match Report;
12;Sat;10.11.18;18:30;Atlético Madrid;1.1;3–2;1.6;Athletic Club;59,321;Estadio Wanda Metropolitano;José Sánchez;Match Report;
12;Sat;10.11.18;20:45;Girona;0.6;0–0;0.9;Leganés;9,874;Estadi Municipal de Montilivi;Adrián Cordero;Match Report;
12;Sun;11.11.18;12:00;Alavés;1;2–1;0.9;Huesca;18,437;Estadio de Mendizorroza;José Luis Munuera;Match Report;
12;Sun;11.11.18;16:15;Barcelona;4.2;3–4;2;Betis;83,174;Camp Nou;Antonio Matéu Lahoz;Match Report;
12;Sun;11.11.18;18:30;Rayo Vallecano;2.1;2–2;0.7;Villarreal;11,840;Estadio del Rayo Vallecano;José González;Match Report;
12;Sun;11.11.18;18:30;Sevilla;3.3;2–1;1.5;Espanyol;38,769;Estadio Ramón Sánchez Pizjuán;Santiago Jaime;Match Report;
12;Sun;11.11.18;20:45;Celta Vigo;1.5;2–4;2.1;Real Madrid;21,184;Estadio de Balaídos;Alberto Undiano;Match Report;
;;;;;;;;;;;;;
13;Fri;23.11.18;21:00;Leganés;0.9;1–0;0.3;Alavés;9,863;Estadio Municipal de Butarque;Alberola Rojas;Match Report;
13;Sat;24.11.18;13:00;Eibar;2.9;3–0;0.6;Real Madrid;6,435;Estadio Municipal de Ipurúa;Juan Martínez;Match Report;
13;Sat;24.11.18;16:15;Valencia;1.8;3–0;0.7;Rayo Vallecano;37,814;Estadio de Mestalla;Pablo González;Match Report;
13;Sat;24.11.18;18:30;Huesca;2.3;2–2;0.6;Levante;6,459;Estadio El Alcoraz;Javier Estrada;Match Report;
13;Sat;24.11.18;20:45;Atlético Madrid;0.1;1–1;0.5;Barcelona;67,204;Estadio Wanda Metropolitano;Jesús Gil;Match Report;
13;Sun;25.11.18;12:00;Athletic Club;0.4;1–1;2.2;Getafe;39,821;San Mamés;Ignacio Iglesias;Match Report;
13;Sun;25.11.18;16:15;Sevilla;2.3;1–0;0.6;Valladolid;34,064;Estadio Ramón Sánchez Pizjuán;Carlos del Cerro;Match Report;
13;Sun;25.11.18;18:30;Espanyol;2.2;1–3;2.5;Girona;22,716;RCDE Stadium;Alejandro Hernández;Match Report;
13;Sun;25.11.18;20:45;Villarreal;1;2–1;1.2;Betis;16,028;Estadio de la Cerámica;Eduardo Prieto;Match Report;
13;Mon;26.11.18;21:00;Real Sociedad;2.1;2–1;0.3;Celta Vigo;17,744;Estadio Municipal de Anoeta;Mario Melero;Match Report;
;;;;;;;;;;;;;
14;Fri;30.11.18;21:00;Rayo Vallecano;0.7;1–0;0.7;Eibar;11,257;Estadio del Rayo Vallecano;Alberto Undiano;Match Report;
14;Sat;01.12.18;13:00;Celta Vigo;2.2;2–0;0.8;Huesca;13,463;Estadio de Balaídos;Adrián Cordero;Match Report;
14;Sat;01.12.18;16:15;Valladolid;2.1;2–4;1.5;Leganés;16,783;Estadio Municipal José Zorrilla;David Medié;Match Report;
14;Sat;01.12.18;18:30;Getafe;1;3–0;1.1;Espanyol;9,287;Coliseum Alfonso Pérez;Antonio Matéu Lahoz;Match Report;
14;Sat;01.12.18;20:45;Real Madrid;1.2;2–0;0.6;Valencia;69,653;Estadio Santiago Bernabéu;José González;Match Report;
14;Sun;02.12.18;12:00;Betis;0.9;1–0;1;Real Sociedad;46,562;Estadio Benito Villamarín;Guillermo Cuadra;Match Report;
14;Sun;02.12.18;16:15;Girona;1.4;1–1;1.8;Atlético Madrid;12,104;Estadi Municipal de Montilivi;Ricardo de Burgos;Match Report;
14;Sun;02.12.18;18:30;Barcelona;1.2;2–0;0.7;Villarreal;73,003;Camp Nou;José Luis Munuera;Match Report;
14;Sun;02.12.18;20:45;Alavés;1.4;1–1;1.9;Sevilla;17,848;Estadio de Mendizorroza;José Sánchez;Match Report;
14;Mon;03.12.18;21:00;Levante;1.7;3–0;1;Athletic Club;19,928;Estadio Ciudad de Valencia;Santiago Jaime;Match Report;
;;;;;;;;;;;;;
15;Fri;07.12.18;21:00;Leganés;1.5;1–1;1.2;Getafe;11,327;Estadio Municipal de Butarque;Pablo González;Match Report;
15;Sat;08.12.18;13:00;Atlético Madrid;2.3;3–0;1.4;Alavés;55,810;Estadio Wanda Metropolitano;Alejandro Hernández;Match Report;
15;Sat;08.12.18;16:15;Valencia;1.2;1–1;1.4;Sevilla;40,057;Estadio de Mestalla;Javier Estrada;Match Report;
15;Sat;08.12.18;18:30;Villarreal;1.5;2–3;1.8;Celta Vigo;15,720;Estadio de la Cerámica;Jesús Gil;Match Report;
15;Sat;08.12.18;20:45;Espanyol;1.1;0–4;2.6;Barcelona;24,037;RCDE Stadium;Carlos del Cerro;Match Report;
15;Sun;09.12.18;12:00;Eibar;3.5;4–4;3.2;Levante;5,328;Estadio Municipal de Ipurúa;Alberola Rojas;Match Report;
15;Sun;09.12.18;16:15;Huesca;1.1;0–1;0.3;Real Madrid;7,341;Estadio El Alcoraz;Mario Melero;Match Report;
15;Sun;09.12.18;18:30;Real Sociedad;2.1;1–2;1.1;Valladolid;23,260;Estadio Municipal de Anoeta;Ignacio Iglesias;Match Report;
15;Sun;09.12.18;20:45;Betis;1.8;2–0;1.2;Rayo Vallecano;40,218;Estadio Benito Villamarín;Juan Martínez;Match Report;
15;Mon;10.12.18;21:00;Athletic Club;2.1;1–0;0.1;Girona;34,060;San Mamés;Eduardo Prieto;Match Report;
;;;;;;;;;;;;;
16;Fri;14.12.18;21:00;Celta Vigo;0.9;0–0;0.7;Leganés;15,134;Estadio de Balaídos;José Luis Munuera;Match Report;
16;Sat;15.12.18;13:00;Getafe;0.5;1–0;0.8;Real Sociedad;9,018;Coliseum Alfonso Pérez;Santiago Jaime;Match Report;
16;Sat;15.12.18;16:15;Valladolid;1;2–3;1.8;Atlético Madrid;22,585;Estadio Municipal José Zorrilla;Alberto Undiano;Match Report;
16;Sat;15.12.18;18:30;Real Madrid;1.2;1–0;0.8;Rayo Vallecano;55,229;Estadio Santiago Bernabéu;Ricardo de Burgos;Match Report;
16;Sat;15.12.18;20:45;Eibar;1.4;1–1;2;Valencia;4,491;Estadio Municipal de Ipurúa;Adrián Cordero;Match Report;
16;Sun;16.12.18;12:00;Sevilla;2.6;2–0;0.8;Girona;33,542;Estadio Ramón Sánchez Pizjuán;Guillermo Cuadra;Match Report;
16;Sun;16.12.18;16:15;Espanyol;0.9;1–3;1.7;Betis;20,275;RCDE Stadium;José Sánchez;Match Report;
16;Sun;16.12.18;18:30;Huesca;4;2–2;1.6;Villarreal;6,455;Estadio El Alcoraz;David Medié;Match Report;
16;Sun;16.12.18;20:45;Levante;1.1;0–5;3;Barcelona;23,736;Estadio Ciudad de Valencia;José González;Match Report;
16;Mon;17.12.18;21:00;Alavés;0.5;0–0;0.4;Athletic Club;19,349;Estadio de Mendizorroza;Antonio Matéu Lahoz;Match Report;
;;;;;;;;;;;;;
17;Fri;21.12.18;19:30;Girona;1.3;1–1;0.9;Getafe;8,450;Estadi Municipal de Montilivi;Alberola Rojas;Match Report;
17;Fri;21.12.18;21:00;Real Sociedad;1.3;0–1;0.6;Alavés;22,431;Estadio Municipal de Anoeta;Javier Estrada;Match Report;
17;Sat;22.12.18;13:00;Betis;1.5;1–1;2;Eibar;49,426;Estadio Benito Villamarín;Carlos del Cerro;Match Report;
17;Sat;22.12.18;16:15;Atlético Madrid;1;1–0;1.1;Espanyol;58,069;Estadio Wanda Metropolitano;Mario Melero;Match Report;
17;Sat;22.12.18;18:30;Barcelona;1.2;2–0;0.7;Celta Vigo;78,686;Camp Nou;Eduardo Prieto;Match Report;
17;Sat;22.12.18;20:45;Athletic Club;1.1;1–1;0.6;Valladolid;42,633;San Mamés;José Sánchez;Match Report;
17;Sun;23.12.18;12:00;Valencia;2.6;2–1;2;Huesca;36,547;Estadio de Mestalla;Jesús Gil;Match Report;
17;Sun;23.12.18;16:15;Leganés;0.8;1–1;0.8;Sevilla;11,321;Estadio Municipal de Butarque;Alejandro Hernández;Match Report;
17;Sun;23.12.18;18:30;Rayo Vallecano;2.1;2–1;1;Levante;11,206;Estadio del Rayo Vallecano;Ignacio Iglesias;Match Report;
