Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
10;Sun;30.10.11;;Tottenham;3–1;QPR;;;Howard Webb;Match Report;
10;Mon;31.10.11;;Stoke City;1–3;Newcastle Utd;;;Mike Dean;Match Report;
;;;;;;;;;;;
11;Sat;05.11.11;;Newcastle Utd;2–1;Everton;;;Andre Marriner;Match Report;
11;Sat;05.11.11;;QPR;2–3;Manchester City;;;Martin Atkinson;Match Report;
11;Sat;05.11.11;;Liverpool;0–0;Swansea City;;;Phil Dowd;Match Report;
11;Sat;05.11.11;;Arsenal;3–0;West Brom;;;Michael Oliver;Match Report;
11;Sat;05.11.11;;Manchester Utd;1–0;Sunderland;;;Lee Mason;Match Report;
11;Sat;05.11.11;;Aston Villa;3–2;Norwich City;;;Kevin Friend;Match Report;
11;Sat;05.11.11;;Blackburn;0–1;Chelsea;;;Mike Dean;Match Report;
11;Sun;06.11.11;;Bolton;5–0;Stoke City;;;Howard Webb;Match Report;
11;Sun;06.11.11;;Wolves;3–1;Wigan Athletic;;;Lee Probert;Match Report;
11;Sun;06.11.11;;Fulham;1–3;Tottenham;;;Peter Walton;Match Report;
;;;;;;;;;;;
12;Sat;19.11.11;;Everton;2–1;Wolves;;;Jon Moss;Match Report;
12;Sat;19.11.11;;Stoke City;2–3;QPR;;;Mike Jones;Match Report;
12;Sat;19.11.11;;West Brom;2–1;Bolton;;;Neil Swarbrick;Match Report;
12;Sat;19.11.11;;Swansea City;0–1;Manchester Utd;;;Mike Dean;Match Report;
12;Sat;19.11.11;;Manchester City;3–1;Newcastle Utd;;;Chris Foy;Match Report;
12;Sat;19.11.11;;Norwich City;1–2;Arsenal;;;Phil Dowd;Match Report;
12;Sat;19.11.11;;Sunderland;0–0;Fulham;;;Anthony Taylor;Match Report;
12;Sat;19.11.11;;Wigan Athletic;3–3;Blackburn;;;Andre Marriner;Match Report;
12;Sun;20.11.11;;Chelsea;1–2;Liverpool;;;Lee Probert;Match Report;
12;Mon;21.11.11;;Tottenham;2–0;Aston Villa;;;Mark Halsey;Match Report;
;;;;;;;;;;;
13;Sat;26.11.11;;Sunderland;1–2;Wigan Athletic;;;Kevin Friend;Match Report;
13;Sat;26.11.11;;West Brom;1–3;Tottenham;;;Lee Probert;Match Report;
13;Sat;26.11.11;;Bolton;0–2;Everton;;;Michael Oliver;Match Report;
13;Sat;26.11.11;;Stoke City;3–1;Blackburn;;;Mark Halsey;Match Report;
13;Sat;26.11.11;;Manchester Utd;1–1;Newcastle Utd;;;Mike Jones;Match Report;
13;Sat;26.11.11;;Norwich City;2–1;QPR;;;Mark Clattenburg;Match Report;
13;Sat;26.11.11;;Chelsea;3–0;Wolves;;;Lee Mason;Match Report;
13;Sat;26.11.11;;Arsenal;1–1;Fulham;;;Mike Dean;Match Report;
13;Sun;27.11.11;;Liverpool;1–1;Manchester City;;;Martin Atkinson;Match Report;
13;Sun;27.11.11;;Swansea City;0–0;Aston Villa;;;Neil Swarbrick;Match Report;
;;;;;;;;;;;
14;Sat;03.12.11;;Wigan Athletic;0–4;Arsenal;;;Mark Clattenburg;Match Report;
14;Sat;03.12.11;;Blackburn;4–2;Swansea City;;;Chris Foy;Match Report;
14;Sat;03.12.11;;QPR;1–1;West Brom;;;Martin Atkinson;Match Report;
14;Sat;03.12.11;;Aston Villa;0–1;Manchester Utd;;;Lee Probert;Match Report;
14;Sat;03.12.11;;Tottenham;3–0;Bolton;;;Stuart Attwell;Match Report;
14;Sat;03.12.11;;Manchester City;5–1;Norwich City;;;Howard Webb;Match Report;
14;Sat;03.12.11;;Newcastle Utd;0–3;Chelsea;;;Mike Dean;Match Report;
14;Sun;04.12.11;;Wolves;2–1;Sunderland;;;Phil Dowd;Match Report;
14;Sun;04.12.11;;Everton;0–1;Stoke City;;;Lee Mason;Match Report;
14;Mon;05.12.11;;Fulham;1–0;Liverpool;;;Kevin Friend;Match Report;
;;;;;;;;;;;
15;Sat;10.12.11;;West Brom;1–2;Wigan Athletic;;;Mike Dean;Match Report;
15;Sat;10.12.11;;Manchester Utd;4–1;Wolves;;;Michael Oliver;Match Report;
15;Sat;10.12.11;;Arsenal;1–0;Everton;;;Howard Webb;Match Report;
15;Sat;10.12.11;;Bolton;1–2;Aston Villa;;;Phil Dowd;Match Report;
15;Sat;10.12.11;;Liverpool;1–0;QPR;;;Lee Mason;Match Report;
15;Sat;10.12.11;;Norwich City;4–2;Newcastle Utd;;;Martin Atkinson;Match Report;
15;Sat;10.12.11;;Swansea City;2–0;Fulham;;;Jon Moss;Match Report;
15;Sun;11.12.11;;Stoke City;2–1;Tottenham;;;Chris Foy;Match Report;
15;Sun;11.12.11;;Sunderland;2–1;Blackburn;;;Peter Walton;Match Report;
15;Mon;12.12.11;;Chelsea;2–1;Manchester City;;;Mark Clattenburg;Match Report;
;;;;;;;;;;;
16;Sat;17.12.11;;Fulham;2–0;Bolton;;;Chris Foy;Match Report;
16;Sat;17.12.11;;Everton;1–1;Norwich City;;;Lee Probert;Match Report;
16;Sat;17.12.11;;Newcastle Utd;0–0;Swansea City;;;Lee Mason;Match Report;
16;Sat;17.12.11;;Wigan Athletic;1–1;Chelsea;;;Martin Atkinson;Match Report;
16;Sat;17.12.11;;Blackburn;1–2;West Brom;;;Mark Clattenburg;Match Report;
16;Sat;17.12.11;;Wolves;1–2;Stoke City;;;Anthony Taylor;Match Report;
16;Sun;18.12.11;;QPR;0–2;Manchester Utd;;;Howard Webb;Match Report;
16;Sun;18.12.11;;Aston Villa;0–2;Liverpool;;;Peter Walton;Match Report;
16;Sun;18.12.11;;Tottenham;1–0;Sunderland;;;Mike Dean;Match Report;
16;Sun;18.12.11;;Manchester City;1–0;Arsenal;;;Phil Dowd;Match Report;
;;;;;;;;;;;
17;Tue;20.12.11;;Wolves;2–2;Norwich City;;;Chris Foy;Match Report;
17;Tue;20.12.11;;Blackburn;1–2;Bolton;;;Martin Atkinson;Match Report;
17;Wed;21.12.11;;Aston Villa;1–2;Arsenal;;;Jon Moss;Match Report;
17;Wed;21.12.11;;Fulham;0–5;Manchester Utd;;;Mark Halsey;Match Report;
17;Wed;21.12.11;;QPR;2–3;Sunderland;;;Andre Marriner;Match Report;
17;Wed;21.12.11;;Manchester City;3–0;Stoke City;;;Mike Dean;Match Report;
17;Wed;21.12.11;;Everton;1–0;Swansea City;;;Kevin Friend;Match Report;
17;Wed;21.12.11;;Wigan Athletic;0–0;Liverpool;;;Michael Oliver;Match Report;
17;Wed;21.12.11;;Newcastle Utd;2–3;West Brom;;;Anthony Taylor;Match Report;
17;Thu;22.12.11;;Tottenham;1–1;Chelsea;;;Howard Webb;Match Report;
;;;;;;;;;;;
18;Mon;26.12.11;;Sunderland;1–1;Everton;;;Howard Webb;Match Report;
18;Mon;26.12.11;;West Brom;0–0;Manchester City;;;Lee Mason;Match Report;
18;Mon;26.12.11;;Liverpool;1–1;Blackburn;;;Mike Jones;Match Report;
18;Mon;26.12.11;;Manchester Utd;5–0;Wigan Athletic;;;Phil Dowd;Match Report;
18;Mon;26.12.11;;Chelsea;1–1;Fulham;;;Kevin Friend;Match Report;
18;Mon;26.12.11;;Bolton;0–2;Newcastle Utd;;;Peter Walton;Match Report;
18;Mon;26.12.11;;Stoke City;0–0;Aston Villa;;;Mark Clattenburg;Match Report;
18;Tue;27.12.11;;Norwich City;0–2;Tottenham;;;Michael Oliver;Match Report;
18;Tue;27.12.11;;Arsenal;1–1;Wolves;;;Stuart Attwell;Match Report;
18;Tue;27.12.11;;Swansea City;1–1;QPR;;;Lee Probert;Match Report;
;;;;;;;;;;;
19;Fri;30.12.11;;Liverpool;3–1;Newcastle Utd;;;Lee Probert;Match Report;
19;Sat;31.12.11;;Swansea City;1–1;Tottenham;;;Phil Dowd;Match Report;
