Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
8;Sat;22.10.16;15:30;Freiburg;2–1;Augsburg;24,000;Schwarzwald-Stadion;Manuel Gräfe;Match Report;
8;Sat;22.10.16;15:30;Leverkusen;0–3;Hoffenheim;28,716;BayArena;Bastian Dankert;Match Report;
8;Sat;22.10.16;15:30;Hertha BSC;2–1;Köln;60,576;Olympiastadion Berlin;Frank Willenborg;Match Report;
8;Sat;22.10.16;15:30;Ingolstadt 04;3–3;Dortmund;15,200;Audi-Sportpark;Felix Zwayer;Match Report;
8;Sat;22.10.16;15:30;Darmstadt 98;3–1;Wolfsburg;15,300;Jonathan-Heimes-Stadion am Böllenfalltor;Markus Schmidt;Match Report;
8;Sat;22.10.16;18:30;Bayern Munich;2–0;M'Gladbach;75,000;Allianz Arena;Jochen Drees;Match Report;
8;Sun;23.10.16;15:30;RB Leipzig;3–1;Werder Bremen;42,558;Red Bull Arena;Robert Hartmann;Match Report;
8;Sun;23.10.16;17:30;Schalke 04;3–0;Mainz 05;59,357;Veltins-Arena;Daniel Siebert;Match Report;
;;;;;;;;;;;
9;Fri;28.10.16;20:30;M'Gladbach;0–0;Eint Frankfurt;54,014;Stadion im Borussia-Park;Felix Zwayer;Match Report;
9;Sat;29.10.16;15:30;Darmstadt 98;0–2;RB Leipzig;16,400;Jonathan-Heimes-Stadion am Böllenfalltor;Wolfgang Stark;Match Report;
9;Sat;29.10.16;15:30;Mainz 05;2–0;Ingolstadt 04;24,197;Opel Arena;Manuel Gräfe;Match Report;
9;Sat;29.10.16;15:30;Wolfsburg;1–2;Leverkusen;26,398;Volkswagen Arena;Tobias Stieler;Match Report;
9;Sat;29.10.16;15:30;Augsburg;1–3;Bayern Munich;30,660;WWK Arena;Christian Dingert;Match Report;
9;Sat;29.10.16;15:30;Werder Bremen;1–3;Freiburg;41,500;Weserstadion;Guido Winkmann;Match Report;
9;Sat;29.10.16;18:30;Dortmund;0–0;Schalke 04;80,179;Signal Iduna Park;Felix Brych;Match Report;
9;Sun;30.10.16;15:30;Hoffenheim;1–0;Hertha BSC;28,015;PreZero Arena;Benjamin Cortus;Match Report;
9;Sun;30.10.16;17:30;Köln;3–0;Hamburger SV;50,000;RheinEnergieSTADION;Benjamin Brand;Match Report;
;;;;;;;;;;;
10;Fri;04.11.16;20:30;Hertha BSC;3–0;M'Gladbach;51,934;Olympiastadion Berlin;Tobias Stieler;Match Report;
10;Sat;05.11.16;15:30;Bayern Munich;1–1;Hoffenheim;75,000;Allianz Arena;Markus Schmidt;Match Report;
10;Sat;05.11.16;15:30;Ingolstadt 04;0–2;Augsburg;15,200;Audi-Sportpark;Jochen Drees;Match Report;
10;Sat;05.11.16;15:30;Hamburger SV;2–5;Dortmund;57,000;Volksparkstadion;Sascha Stegemann;Match Report;
10;Sat;05.11.16;15:30;Freiburg;0–3;Wolfsburg;23,500;Schwarzwald-Stadion;Felix Brych;Match Report;
10;Sat;05.11.16;15:30;Leverkusen;3–2;Darmstadt 98;28,941;BayArena;Harm Osmers;Match Report;
10;Sat;05.11.16;18:30;Eint Frankfurt;1–0;Köln;51,000;Commerzbank-Arena;Deniz Aytekin;Match Report;
10;Sun;06.11.16;15:30;RB Leipzig;3–1;Mainz 05;42,558;Red Bull Arena;Marco Fritz;Match Report;
10;Sun;06.11.16;17:30;Schalke 04;3–1;Werder Bremen;61,263;Veltins-Arena;Günter Perl;Match Report;
;;;;;;;;;;;
11;Fri;18.11.16;20:30;Leverkusen;2–3;RB Leipzig;27,752;BayArena;Felix Brych;Match Report;
11;Sat;19.11.16;15:30;Wolfsburg;0–1;Schalke 04;30,000;Volkswagen Arena;Felix Zwayer;Match Report;
11;Sat;19.11.16;15:30;M'Gladbach;1–2;Köln;53,757;Stadion im Borussia-Park;Manuel Gräfe;Match Report;
11;Sat;19.11.16;15:30;Darmstadt 98;0–1;Ingolstadt 04;15,000;Jonathan-Heimes-Stadion am Böllenfalltor;Christian Dingert;Match Report;
11;Sat;19.11.16;15:30;Augsburg;0–0;Hertha BSC;27,007;WWK Arena;Bastian Dankert;Match Report;
11;Sat;19.11.16;15:30;Mainz 05;4–2;Freiburg;26,573;Opel Arena;Patrick Ittrich;Match Report;
11;Sat;19.11.16;18:30;Dortmund;1–0;Bayern Munich;81,360;Signal Iduna Park;Tobias Stieler;Match Report;
11;Sun;20.11.16;15:30;Hoffenheim;2–2;Hamburger SV;29,512;PreZero Arena;Robert Hartmann;Match Report;
11;Sun;20.11.16;17:30;Werder Bremen;1–2;Eint Frankfurt;39,261;Weserstadion;Robert Kampka;Match Report;
;;;;;;;;;;;
12;Fri;25.11.16;20:30;Freiburg;1–4;RB Leipzig;24,000;Schwarzwald-Stadion;Benjamin Brand;Match Report;
12;Sat;26.11.16;15:30;Hamburger SV;2–2;Werder Bremen;55,237;Volksparkstadion;Felix Brych;Match Report;
12;Sat;26.11.16;15:30;Köln;0–0;Augsburg;50,000;RheinEnergieSTADION;Markus Schmidt;Match Report;
12;Sat;26.11.16;15:30;M'Gladbach;1–1;Hoffenheim;51,086;Stadion im Borussia-Park;Deniz Aytekin;Match Report;
12;Sat;26.11.16;15:30;Eint Frankfurt;2–1;Dortmund;51,500;Commerzbank-Arena;Wolfgang Stark;Match Report;
12;Sat;26.11.16;15:30;Ingolstadt 04;1–1;Wolfsburg;13,521;Audi-Sportpark;Daniel Siebert;Match Report;
12;Sat;26.11.16;18:30;Bayern Munich;2–1;Leverkusen;75,000;Allianz Arena;Marco Fritz;Match Report;
12;Sun;27.11.16;15:30;Schalke 04;3–1;Darmstadt 98;58,703;Veltins-Arena;Frank Willenborg;Match Report;
12;Sun;27.11.16;17:30;Hertha BSC;2–1;Mainz 05;37,852;Olympiastadion Berlin;Guido Winkmann;Match Report;
;;;;;;;;;;;
13;Fri;02.12.16;20:30;Mainz 05;1–3;Bayern Munich;34,000;Opel Arena;Daniel Siebert;Match Report;
